Scouter Initials,Match Number,Robot,Team Number,Starting Position,No Show,Cage Position,Moved?,Timer,Coral L1 Scored,Coral L2 Scored,Coral L3 Scored,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
JL,6,R1,2957,R2,False,SP3,False,2,2,1,0,3,5,3,1,3,4,1,1,3,3,5,4,3,1,2,1,1,3,4,4,2,No Card,Clean match
MP,6,B1,5021,B3,False,SP2,True,4,4,2,2,4,5,2,5,2,1,3,5,4,1,4,4,2,0,0,5,2,2,4,4,0,No Card,
TX,6,B2,3409,B2,False,SP2,False,2,4,5,2,0,1,3,5,4,0,5,3,3,0,1,1,5,4,5,3,0,0,1,3,5,No Card,
MP,6,R3,7183,R1,False,SP1,True,15,4,3,5,5,3,0,4,2,1,4,2,1,3,0,5,1,4,1,3,3,3,5,2,3,No Card,Clean match
AR,7,B1,2365,R3,False,SP3,False,12,5,0,3,5,4,4,2,2,4,1,5,5,5,4,5,0,5,2,3,2,5,4,5,4,Red,
KS,7,R1,1841,R1,False,SP2,True,2,0,1,4,1,5,4,5,3,1,5,1,0,5,0,2,0,3,2,5,2,1,3,2,0,Red,Strong defense
MP,7,R2,4759,R3,False,SP2,False,0,0,1,2,2,4,2,4,3,5,4,3,0,5,2,1,1,1,4,0,1,0,5,1,5,No Card,Clean match
KS,7,B2,4365,R3,False,SP1,True,5,1,4,5,1,5,5,1,1,4,2,1,5,0,1,1,5,0,4,4,2,1,4,5,1,Yellow,Slow intake
JL,7,R2,7311,B1,False,SP2,False,14,1,3,4,5,1,0,0,4,4,5,3,5,2,0,2,5,3,3,4,1,0,2,1,1,Yellow,Strong defense
TX,7,B1,9515,B2,True,SP1,False,1,4,5,0,5,2,4,5,2,0,2,3,4,0,5,0,3,0,4,0,2,5,4,3,1,Red,
MP,8,R1,4106,B2,False,SP1,True,14,1,5,4,3,3,4,3,4,3,4,1,1,1,1,5,4,5,4,3,1,4,0,0,3,No Card,Clean match
JL,8,R2,4860,R1,False,SP2,True,13,0,5,4,5,5,3,0,4,4,3,3,0,3,1,1,4,0,1,4,1,4,5,4,5,No Card,Slow intake
JL,8,R1,4987,B3,False,SP2,True,8,0,0,1,4,0,4,3,2,1,5,5,0,2,2,4,5,2,5,2,1,1,0,2,5,Yellow,Clean match
MP,8,B2,8050,R1,True,SP3,True,2,0,4,1,3,2,3,4,4,2,3,5,3,1,0,4,1,4,3,1,2,2,0,4,1,Yellow,Slow intake
KS,8,B3,1370,R1,False,SP3,True,14,4,4,1,1,0,0,5,0,4,3,5,2,4,2,2,2,5,4,2,1,5,2,4,2,Red,Slow intake
AR,8,B3,7856,B1,True,SP2,False,3,4,2,5,1,2,2,3,4,2,0,2,3,0,2,0,0,5,0,5,2,4,4,0,1,Red,Clean match
KS,9,B3,6866,R2,False,SP2,True,2,2,5,2,1,2,5,4,1,0,1,2,5,4,3,4,5,0,0,0,0,4,1,1,4,Yellow,Slow intake
KS,9,R1,2045,R1,True,SP2,False,3,2,2,3,4,0,1,2,1,5,0,0,0,2,3,5,2,0,1,2,5,4,5,0,4,Yellow,Strong defense
AR,9,R3,6560,B3,True,SP3,False,12,0,1,2,3,3,2,1,3,0,4,1,0,2,5,1,3,2,0,4,4,0,3,4,3,No Card,Slow intake
AR,9,R3,8470,B2,True,SP1,False,6,2,4,4,2,1,2,5,5,1,1,5,0,4,5,4,2,2,1,5,5,1,3,3,2,No Card,
AR,9,R2,4196,B1,False,SP3,False,14,5,5,0,0,2,0,0,0,3,0,5,5,1,4,1,3,2,0,1,0,1,5,0,0,Red,
MP,9,R3,4227,R2,False,SP3,True,7,2,0,5,5,4,5,4,1,3,0,1,3,1,4,0,2,1,3,2,1,2,5,5,3,No Card,
KS,10,R1,2337,R2,False,SP3,True,1,0,0,0,5,4,1,0,1,4,4,1,4,0,5,3,4,1,1,3,1,1,4,4,0,Red,Strong defense
JL,10,B2,1234,R2,False,SP1,True,13,3,5,2,2,0,1,2,4,5,3,4,5,5,5,3,4,5,1,4,2,4,5,3,2,Red,
MP,10,B3,2194,B1,False,SP1,True,0,1,5,5,4,3,1,3,1,1,1,4,1,2,0,1,3,0,1,3,0,3,3,4,3,Red,
MP,10,B1,2457,B1,False,SP3,False,3,0,0,4,1,1,3,5,0,1,4,5,2,4,0,4,1,5,4,3,5,5,4,4,0,Red,Slow intake
KS,10,R1,7705,R2,False,SP2,True,11,0,2,1,0,2,5,3,2,5,4,4,2,3,4,3,3,2,0,2,4,4,3,0,1,Red,Strong defense
JL,10,B3,3005,R1,False,SP2,False,4,0,1,0,2,0,2,2,5,3,3,1,0,3,3,5,3,3,0,4,3,1,1,2,3,Yellow,Strong defense
JL,11,R3,6530,R3,True,SP2,False,6,5,2,3,4,5,5,4,2,0,2,3,2,5,5,1,5,3,3,2,3,0,4,0,3,Red,Clean match
JL,11,R2,8113,R2,False,SP3,False,1,3,5,4,1,2,4,0,5,3,1,1,1,0,5,2,0,2,5,5,4,1,1,4,4,Yellow,Slow intake
AR,11,R1,5355,R2,False,SP3,False,3,0,2,1,0,1,0,2,0,0,0,3,2,4,3,5,5,5,5,3,3,3,3,3,1,Yellow,Clean match
MP,11,R2,3764,R1,False,SP1,False,12,4,3,5,2,0,5,2,1,0,4,1,3,0,5,1,0,3,3,3,2,3,2,2,5,Yellow,Slow intake
JL,11,B2,3028,R3,True,SP2,False,9,1,5,0,4,2,0,1,5,1,4,2,5,2,4,4,3,4,4,4,3,1,1,1,2,Red,Clean match
JL,11,R2,9215,R1,False,SP1,False,1,3,3,3,1,1,3,2,2,3,5,1,2,3,4,1,3,4,5,2,0,4,2,4,3,Red,Clean match
JL,12,B1,7904,B3,False,SP3,False,7,5,3,0,4,3,1,3,4,2,3,3,1,1,2,4,0,4,2,1,1,4,2,1,0,No Card,Clean match
MP,12,R2,7820,B3,False,SP1,False,13,3,4,5,4,0,3,2,5,1,0,5,5,4,1,0,3,1,0,0,4,2,4,5,2,Yellow,Strong defense
TX,12,R2,4502,R3,False,SP1,True,6,3,1,0,2,2,3,5,2,5,1,2,1,3,1,1,0,5,3,2,4,3,3,3,3,Red,Slow intake
AR,12,B1,6135,B2,True,SP1,True,15,1,5,3,5,5,4,2,5,3,1,0,3,5,5,3,0,4,4,4,5,0,4,3,1,No Card,
JL,12,R3,7681,B1,False,SP3,True,5,4,2,4,4,4,2,5,3,1,5,5,5,2,5,4,1,5,1,2,3,0,3,2,5,No Card,
TX,12,B3,3852,R3,False,SP1,False,13,4,3,0,4,1,1,2,4,0,5,3,4,2,2,0,3,2,1,3,4,3,5,2,0,Yellow,
MP,13,B1,3447,B2,False,SP1,False,5,1,3,2,0,5,5,3,1,3,1,0,3,0,2,1,0,0,1,5,3,3,1,4,5,Red,Slow intake
MP,13,B1,3320,R3,True,SP3,True,9,5,1,1,4,3,3,2,1,4,2,0,4,2,2,2,1,3,3,3,5,4,1,4,1,Red,
KS,13,B3,7425,R1,True,SP3,False,7,5,4,2,4,1,2,4,2,5,4,4,1,1,2,4,3,3,3,2,1,1,0,5,5,Red,Strong defense
TX,13,B3,5594,B1,False,SP1,True,7,3,0,0,2,5,1,2,3,2,1,1,5,0,0,5,5,2,4,0,4,0,3,3,1,No Card,Clean match
AR,13,R3,2284,R2,False,SP1,True,0,2,5,5,0,5,5,3,4,5,1,4,4,0,1,2,3,0,1,4,5,1,3,0,0,No Card,Strong defense
KS,13,R3,9824,R2,False,SP3,True,15,1,1,0,4,5,3,4,2,4,4,1,0,0,0,1,4,0,5,2,0,2,4,1,1,Yellow,Strong defense
AR,14,B1,8996,R1,False,SP3,False,3,5,3,0,5,1,0,4,0,5,3,4,0,4,2,4,3,0,5,5,4,0,0,4,2,Yellow,Slow intake
TX,14,B1,7770,R1,False,SP1,True,5,3,0,4,3,3,0,4,0,0,4,4,2,5,0,1,4,1,1,0,2,1,2,2,1,Yellow,Slow intake
TX,14,R1,3224,R1,False,SP1,True,13,2,1,3,2,3,0,0,1,5,0,2,2,3,3,2,0,5,4,1,5,0,2,0,4,Red,Slow intake
AR,14,R3,3665,B3,False,SP2,False,12,2,1,1,3,5,2,1,1,5,0,2,2,0,1,1,0,2,0,0,5,3,1,2,5,No Card,Clean match
AR,14,B3,1811,R3,True,SP2,True,14,2,4,3,1,0,5,1,1,1,2,4,2,5,1,0,3,4,1,5,0,5,2,2,2,Red,
KS,14,R3,4201,B1,True,SP3,False,1,5,2,0,2,4,4,4,2,3,0,2,0,2,1,4,5,5,5,5,0,1,5,5,2,Yellow,
KS,15,R1,3032,R1,False,SP2,False,1,3,0,0,4,2,3,1,1,2,3,0,3,5,5,2,0,5,2,1,2,0,5,1,1,No Card,
AR,15,B1,6345,R3,False,SP3,True,4,2,0,3,5,4,4,3,1,5,1,3,5,5,0,4,3,5,0,2,2,2,5,1,3,Yellow,Clean match
JL,15,B2,9795,B1,False,SP3,True,0,5,5,0,4,5,3,5,1,2,0,1,2,0,1,4,3,5,2,3,3,3,4,4,4,No Card,Slow intake
TX,15,R1,1020,R2,False,SP1,True,2,1,3,1,5,4,2,0,1,5,5,2,4,1,2,3,1,1,3,1,0,1,3,3,3,No Card,Slow intake
JL,15,B2,4098,R1,False,SP2,False,8,2,0,3,2,1,0,2,1,4,4,4,1,0,5,2,5,2,0,3,4,0,3,5,2,Yellow,Slow intake
MP,15,R3,3819,B3,False,SP1,False,12,1,1,3,2,3,5,0,0,0,3,1,0,3,0,3,5,4,4,1,0,3,2,4,2,Red,Clean match
JL,16,R3,1823,R3,True,SP3,True,4,5,3,2,3,2,1,1,5,2,2,5,0,5,4,0,3,0,3,3,2,4,1,0,3,Red,Slow intake
AR,16,R1,6829,R2,True,SP3,True,12,3,4,3,3,4,4,4,1,2,3,0,5,4,0,5,0,4,4,4,1,4,3,1,3,Red,Clean match
JL,16,B2,1910,R2,True,SP2,True,4,1,3,0,4,0,0,2,0,5,5,1,3,3,1,2,0,2,0,0,3,2,2,2,3,No Card,Clean match
KS,16,B2,5276,B3,False,SP1,True,13,2,4,5,4,0,4,4,2,4,1,0,4,5,4,4,0,5,5,1,2,0,4,5,2,No Card,Strong defense
TX,16,R2,2657,R3,False,SP2,False,1,3,0,4,5,5,2,5,5,0,5,1,5,4,2,5,2,5,2,0,5,4,3,0,3,No Card,Strong defense
AR,16,R1,8494,B1,False,SP1,True,7,0,3,2,2,2,0,2,2,3,5,5,4,3,5,2,2,3,4,0,5,2,5,3,0,Red,
TX,17,R2,2115,B3,True,SP1,False,11,4,2,4,5,1,4,1,0,0,2,0,2,4,0,2,4,3,5,4,3,2,5,2,4,No Card,Strong defense
JL,17,R2,3914,R2,False,SP1,True,6,3,3,2,1,2,4,1,3,2,1,2,3,0,4,3,4,0,3,3,0,5,1,5,5,Red,
AR,17,R2,9740,R3,True,SP2,False,12,2,4,5,0,5,2,5,4,2,3,1,1,0,3,5,4,4,1,3,1,2,0,5,4,No Card,
TX,17,B2,3705,B3,False,SP2,False,13,4,3,3,1,2,3,5,3,1,1,5,3,0,2,0,3,2,2,3,1,4,1,5,0,No Card,
MP,17,R3,9434,R2,False,SP2,True,5,1,4,2,4,3,5,1,0,0,0,5,4,5,4,3,4,3,3,1,0,2,2,5,2,No Card,
TX,17,R1,1316,B1,True,SP1,True,13,0,0,5,1,1,0,5,0,0,4,5,5,0,1,5,0,0,5,0,1,0,4,3,4,No Card,Clean match
MP,18,B2,6164,B1,True,SP1,True,11,1,2,0,0,3,5,1,3,2,5,4,2,2,4,1,2,1,4,4,1,4,5,0,4,Red,Strong defense
MP,18,R3,4876,R3,False,SP2,True,6,1,0,0,5,0,3,1,3,5,3,1,3,0,2,0,2,1,5,3,2,4,0,2,3,Yellow,Strong defense
AR,18,B1,3380,B1,False,SP2,False,13,4,5,3,5,1,2,2,2,5,0,5,0,1,3,4,2,5,0,1,2,3,3,3,0,Yellow,Clean match
MP,18,R3,8945,R2,True,SP1,True,3,0,3,4,4,5,0,5,3,5,3,0,0,4,5,3,5,1,0,5,1,0,5,1,5,Red,Clean match
AR,18,B2,6720,R3,True,SP1,True,9,1,2,0,0,3,0,2,4,2,5,0,5,2,0,3,4,5,0,2,3,4,3,1,1,Red,Slow intake
AR,18,R3,7384,B3,True,SP3,True,2,3,2,0,2,1,4,2,3,0,4,5,0,1,2,4,1,5,5,4,2,0,2,2,1,Red,Slow intake
AR,19,B3,4880,B1,True,SP3,True,1,4,1,5,0,2,3,5,4,5,1,3,1,2,4,2,3,5,0,0,2,1,2,5,3,No Card,Slow intake
JL,19,R3,1589,R1,False,SP3,False,5,2,0,5,4,2,0,2,1,4,2,2,4,4,2,2,3,3,3,4,2,2,3,0,4,Red,Strong defense
JL,19,B3,8837,B3,False,SP2,True,6,2,3,3,4,2,1,3,4,2,0,5,4,0,1,4,2,0,1,3,3,2,1,0,4,Red,Strong defense
JL,19,B3,6643,R2,False,SP2,True,12,2,3,5,5,5,1,5,3,1,4,3,1,5,3,2,0,1,4,4,1,3,3,1,4,Yellow,Strong defense
AR,19,R1,6682,B2,False,SP1,False,12,4,3,3,2,3,4,3,3,1,3,2,1,5,1,3,0,5,3,3,4,0,3,2,2,No Card,Slow intake
AR,19,B3,2186,R2,True,SP3,False,3,5,2,2,5,5,4,3,0,0,1,4,3,3,4,4,1,5,4,4,2,5,3,5,0,No Card,Clean match
TX,20,B2,5359,B1,False,SP3,True,4,3,3,3,2,0,2,1,0,5,4,5,3,4,3,4,4,2,2,2,5,3,4,2,2,Yellow,Slow intake
JL,20,B2,7215,R1,False,SP3,False,12,0,0,0,3,5,4,0,1,5,3,0,3,2,1,1,3,5,4,0,3,2,4,0,1,Yellow,Clean match
MP,20,B2,7445,R1,False,SP1,False,0,3,4,3,4,1,4,2,1,2,2,0,3,4,4,4,5,0,0,5,4,2,2,2,5,No Card,Slow intake
KS,20,R1,8774,B3,False,SP1,True,0,3,2,4,4,3,0,5,5,4,4,0,5,2,4,1,3,0,3,0,0,5,1,2,3,No Card,Clean match
TX,20,R1,6142,R1,False,SP2,True,15,4,1,4,3,4,0,1,2,0,0,0,2,1,0,1,3,4,2,3,0,0,3,0,2,Yellow,Slow intake
JL,20,B3,4171,B2,True,SP2,True,9,1,3,2,5,3,4,5,3,4,4,4,2,3,2,4,2,4,1,0,1,0,5,1,0,Yellow,Strong defense
TX,21,R3,7214,R1,False,SP3,True,10,4,1,4,4,2,3,0,5,4,3,3,4,4,3,0,2,3,2,0,2,1,1,0,0,No Card,Strong defense
AR,21,R2,9550,B2,False,SP1,True,1,5,0,0,4,3,5,2,5,4,4,3,2,1,4,4,2,1,2,1,0,5,2,1,3,Red,Clean match
MP,21,B3,9892,B2,False,SP2,False,5,3,1,4,2,3,2,0,5,5,1,4,0,3,3,2,4,3,2,4,1,5,1,0,3,Yellow,Clean match
JL,21,B2,1709,B3,False,SP2,True,2,3,0,0,4,0,3,2,4,4,3,5,0,0,3,3,1,2,3,0,5,4,0,2,2,No Card,Strong defense
AR,21,R1,8571,R2,False,SP3,True,12,4,4,2,4,5,2,2,2,4,3,3,3,1,1,2,3,2,4,0,3,2,2,4,5,No Card,Clean match
TX,21,B1,7353,R2,False,SP3,True,13,0,3,0,2,4,5,3,3,3,0,1,3,1,0,3,2,1,4,2,0,1,0,5,2,Red,Strong defense
KS,22,R3,1160,B3,False,SP3,True,14,1,0,3,2,2,4,0,2,1,0,4,1,0,0,5,5,4,0,0,0,3,4,1,4,Red,Strong defense
AR,22,R1,5868,R3,True,SP2,False,6,4,0,0,4,5,5,3,5,5,0,2,0,5,2,0,4,0,5,4,1,5,2,0,0,Yellow,
TX,22,R3,9537,B2,False,SP2,True,12,5,0,0,4,4,2,5,4,5,3,0,1,4,1,1,1,4,5,2,1,5,5,5,0,Yellow,Clean match
AR,22,R1,9812,R1,True,SP3,True,3,4,3,1,4,5,4,3,3,4,0,4,2,4,3,4,5,4,0,0,2,5,3,1,3,No Card,Clean match
KS,22,R2,9736,B3,False,SP2,True,13,0,5,1,0,2,0,5,3,2,2,5,3,4,2,0,3,1,3,3,4,4,0,3,0,Red,Clean match
MP,22,B3,5660,R2,False,SP1,False,2,0,5,4,2,4,1,2,3,1,3,4,0,2,3,0,2,3,5,3,2,0,4,5,1,Yellow,Strong defense
TX,23,R2,6357,B1,False,SP2,True,8,0,5,4,2,2,2,4,2,2,5,1,2,0,5,5,3,2,0,2,1,1,3,0,0,No Card,Strong defense
TX,23,B3,9291,R2,False,SP1,True,9,5,1,3,3,4,4,2,5,3,5,2,4,1,5,3,2,5,5,2,3,0,2,4,5,Yellow,Clean match
AR,23,B1,5012,R2,False,SP2,False,9,5,1,3,0,1,5,1,1,1,5,0,2,2,4,3,1,0,1,2,1,1,3,5,2,Red,Slow intake
TX,23,B3,5223,R3,False,SP3,False,9,0,5,4,1,5,4,0,3,4,2,1,3,4,0,4,0,1,2,3,2,5,5,5,2,Yellow,
KS,23,B2,8889,R2,False,SP2,True,1,3,3,2,2,4,2,1,1,4,0,0,3,2,3,3,3,0,4,0,1,1,1,1,1,Red,
AR,23,B1,7057,B2,False,SP3,False,4,2,5,5,1,1,2,2,3,4,5,2,5,2,3,2,4,3,1,4,4,0,4,0,3,Red,Slow intake
KS,24,R3,8010,R2,False,SP3,True,7,1,5,3,3,3,5,1,3,5,0,4,1,4,2,4,5,4,2,2,4,3,4,1,2,Yellow,
JL,24,B1,2054,R3,False,SP3,False,12,4,2,4,2,5,3,4,0,3,1,0,2,5,5,4,4,3,4,3,0,1,2,2,4,Yellow,Clean match
JL,24,B3,7922,B2,True,SP3,True,15,4,2,0,4,0,2,4,3,0,0,3,3,1,1,2,0,4,0,2,0,0,2,4,3,No Card,
JL,24,B3,8316,R2,True,SP3,True,5,5,4,1,4,5,0,5,0,4,0,2,2,0,4,2,2,4,5,5,5,2,2,4,1,Yellow,Slow intake
TX,24,B2,5781,R3,False,SP1,True,10,2,5,3,2,4,2,0,4,5,0,4,1,4,2,4,1,1,3,3,5,3,5,1,4,Yellow,Strong defense
AR,24,B2,9365,R3,False,SP1,False,9,4,4,4,2,3,2,4,2,3,3,2,1,3,1,5,2,3,5,0,0,4,1,3,0,No Card,Clean match
MP,25,R2,6203,B3,False,SP2,True,5,4,3,3,0,3,5,5,4,3,1,1,2,0,1,2,3,4,2,4,5,0,0,3,4,Yellow,
KS,25,B1,9212,R2,False,SP1,True,10,2,2,1,3,2,1,3,1,0,0,3,4,2,4,1,0,0,1,3,1,2,4,4,0,No Card,Clean match
JL,25,R3,5846,B2,False,SP3,True,9,1,4,0,0,2,4,5,1,3,2,0,0,5,2,0,1,5,4,2,0,5,5,2,4,No Card,Strong defense
JL,25,B3,4606,B2,False,SP1,False,14,5,0,3,5,1,4,2,2,0,0,1,0,1,3,2,4,2,5,1,4,1,0,4,1,Yellow,Slow intake
AR,25,B2,1569,B1,True,SP2,True,8,2,2,2,2,0,5,2,5,3,3,2,4,5,2,3,1,4,2,0,1,1,5,4,2,Yellow,Clean match
MP,25,R1,5247,R2,False,SP2,True,1,3,0,1,1,2,1,0,1,2,4,4,3,2,0,2,2,2,4,5,5,0,4,2,2,Yellow,Clean match
KS,26,B1,5238,B2,False,SP1,True,12,4,4,2,2,4,1,0,5,1,3,4,2,4,2,0,3,3,3,1,2,2,0,1,3,Red,Slow intake
JL,26,R3,3805,B3,False,SP3,False,6,1,2,2,0,1,3,3,3,4,1,5,1,5,5,5,1,2,2,5,2,2,1,3,4,Red,
KS,26,B2,7933,R1,False,SP3,False,0,2,4,0,3,0,5,4,5,1,4,5,4,2,2,1,4,0,0,1,3,1,4,1,4,No Card,Clean match
JL,26,B2,4492,B2,False,SP3,True,12,5,3,4,2,0,4,5,3,5,1,4,2,4,5,4,3,4,2,1,4,3,1,4,0,No Card,Strong defense
MP,26,R1,8632,R2,False,SP1,True,1,3,2,0,1,2,3,3,4,3,4,0,0,4,0,4,3,2,5,0,5,0,4,2,3,Yellow,Slow intake
KS,26,B3,4999,R1,True,SP2,True,6,1,2,2,5,5,2,0,4,5,3,2,2,3,3,4,5,5,1,1,1,5,5,2,1,Red,Slow intake
MP,27,B1,9802,R1,False,SP1,True,1,3,3,4,5,3,2,0,4,3,0,2,4,3,0,3,3,1,0,5,5,2,0,1,1,Yellow,Slow intake
AR,27,R1,8652,B3,False,SP3,False,14,2,5,4,5,4,3,3,5,3,5,4,2,0,4,2,2,2,5,4,4,5,1,5,0,No Card,Strong defense
MP,27,R1,9129,R3,False,SP2,True,2,0,2,2,3,0,5,5,3,1,3,1,5,0,0,5,0,4,2,0,5,5,3,1,0,Yellow,
KS,27,R2,4333,B1,False,SP2,False,8,4,1,1,3,2,4,3,5,4,2,2,5,2,0,5,2,4,3,1,0,0,1,4,4,Yellow,
JL,27,B2,4456,R3,False,SP1,True,0,4,1,2,4,3,3,5,0,1,0,3,2,5,5,5,2,1,3,4,5,3,3,2,2,Yellow,Clean match
MP,27,R3,4150,R3,False,SP3,True,2,2,5,0,2,2,5,2,5,4,2,3,4,1,2,3,4,2,1,1,4,0,5,4,2,Red,
KS,28,B2,9580,R1,False,SP1,True,0,2,1,5,1,5,3,4,2,2,0,1,4,1,5,3,0,3,2,4,0,4,1,2,2,Yellow,Strong defense
KS,28,B3,5077,R1,False,SP2,True,14,3,4,5,1,1,4,0,1,2,0,2,3,5,3,5,0,5,4,0,2,0,4,5,4,Red,Clean match
MP,28,B2,3814,B3,False,SP2,True,8,4,0,3,2,2,0,2,1,5,0,2,1,3,3,2,4,5,1,3,4,1,0,1,4,No Card,
TX,28,R3,9753,B3,False,SP1,True,10,1,1,2,3,2,3,0,3,0,1,2,1,3,0,3,3,3,3,4,4,4,5,0,1,No Card,Strong defense
